Part ID,Location,Model,RMSE,MAPE,Best_Model
PD1399,A,ETS,104.8,0.1551,False
PD1399,A,SARIMA,98.36,0.1515,True
PD1399,A,XGBoost,141.05,0.1809,False
PD1399,A,Prophet,121.39,0.171,False
PD1399,B,ETS,89.31,0.1196,False
PD1399,B,SARIMA,96.42,0.1534,False
PD1399,B,XGBoost,113.51,0.1286,False
PD1399,B,Prophet,74.67,0.1072,True
PD2782,A,ETS,6.95,0.1808,False
PD2782,A,SARIMA,4.68,0.0919,True
PD2782,A,XGBoost,8.31,0.1793,False
PD2782,A,Prophet,7.31,0.1806,False
PD2782,B,ETS,7.82,0.1692,True
PD2782,B,SARIMA,8.27,0.1884,False
PD2782,B,XGBoost,10.64,0.2681,False
PD2782,B,Prophet,8.1,0.1632,False
PD2801,A,ETS,0.96,0.1515,True
PD2801,A,SARIMA,1.36,0.1545,False
PD2801,A,XGBoost,1.67,0.2715,False
PD2801,A,Prophet,1.68,0.2869,False
PD2801,B,ETS,0.95,0.1685,True
PD2801,B,SARIMA,1.2,0.1825,False
PD2801,B,XGBoost,1.84,0.2328,False
PD2801,B,Prophet,1.26,0.2339,False
PD2976,A,ETS,49.63,0.0736,True
PD2976,A,SARIMA,69.22,0.0972,False
PD2976,A,XGBoost,100.7,0.1297,False
PD2976,A,Prophet,97.27,0.147,False
PD2976,B,ETS,81.66,0.1007,False
PD2976,B,SARIMA,46.17,0.061,True
PD2976,B,XGBoost,104.69,0.1292,False
PD2976,B,Prophet,101.58,0.1138,False
PD457,A,ETS,99.16,0.1398,True
PD457,A,SARIMA,126.92,0.1443,False
PD457,A,XGBoost,126.19,0.1696,False
PD457,A,Prophet,146.36,0.236,False
PD457,B,ETS,82.34,0.1338,True
PD457,B,SARIMA,124.88,0.1626,False
PD457,B,XGBoost,108.35,0.1502,False
PD457,B,Prophet,89.53,0.1421,False
